12:55:19: registered and logged in
12:55:54: created a post
12:56:09: checked my post
12:56:16: opened notification ()
12:56:24: Favorited a review
12:56:40: created a post
12:57:02: closed app
14:45:29: created a post
14:45:49: closed app
14:49:37: created a post
14:50:08: closed app
14:59:18: created a post
14:59:22: closed app
14:59:42: checked my post
14:59:56: created a post
15:00:31: closed app
15:04:42: Favorited a review
15:05:03: closed app
21:40:01: opened notification ()
21:40:07: checked my post
21:41:03: closed app
23:00:43: checked my post
23:00:54: created a post
23:00:55: opened notification ()
23:01:00: closed app
