10:45:41: registered and logged in
10:45:53: created a post
10:45:56: opened notification ()
10:45:57: checked my post
10:46:02: created a post
10:46:04: opened notification ()
10:46:29: created a post
10:46:31: opened notification ()
10:46:34: checked my post
10:46:34: opened notification ()
10:46:36: Favorited a review
10:46:46: opened notification ()
10:47:00: created a post
10:47:05: closed app
10:48:42: created a post
10:48:51: closed app
11:17:32: checked my post
11:17:50: opened notification ()
11:17:58: closed app
12:19:16: checked my post
12:19:23: opened notification ()
12:19:45: closed app
