11:18:50: checked my post
11:19:12: checked my post
11:19:15: opened notification ()
11:19:48: checked my post
11:19:49: opened notification ()
11:19:51: checked my post
11:19:51: opened notification ()
11:19:57: closed app
10:20:09: registered and logged in
10:20:39: created a post
10:20:49: checked my post
10:20:52: opened notification ()
10:20:54: Favorited a review
10:21:06: opened notification ()
10:22:16: closed app
10:32:19: opened notification ()
10:32:28: created a post
10:34:10: closed app
10:35:30: opened notification ()
10:35:32: Favorited a review
10:35:38: checked my post
10:35:40: checked my post
10:35:50: checked my post
10:35:57: opened notification ()
10:35:57: checked my post
10:36:18: closed app
11:17:15: opened notification ()
11:17:37: checked my post
11:17:39: opened notification ()
11:18:18: created a post
11:18:26: closed app
12:30:43: checked my post
12:30:58: opened notification ()
12:31:24: closed app
12:36:26: checked my post
12:36:27: opened notification ()
12:36:28: closed app
