12:45:30: registered and logged in
12:45:54: opened notification ()
12:45:56: created a post
12:46:07: closed app
12:46:37: Favorited a review
12:47:32: closed app
13:01:26: created a post
13:01:31: closed app
13:02:55: checked my post
13:02:58: created a post
13:03:05: closed app
13:14:04: created a post
13:14:07: closed app
13:15:26: created a post
13:15:29: closed app
13:16:13: created a post
13:16:16: closed app
13:17:41: created a post
13:18:16: checked my post
13:18:30: checked my post
13:18:31: checked my post
13:18:37: created a post
13:18:53: closed app
13:19:33: created a post
13:19:40: closed app
13:21:05: checked my post
13:21:13: opened notification ()
13:21:56: closed app
13:23:30: created a post
13:24:49: closed app
